[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Public/top | INFO: Tag[ route_check ] --START--
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Public/top | INFO: Run CheckRoute Behavior [ RunTime:0.000599s ]
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Public/top | INFO: Tag[ route_check ] --END-- [ RunTime:0.000674s ]
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Public/top | INFO: Tag[ app_begin ] --START--
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Public/top | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000375s ]
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Public/top | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000423s ]
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Public/top | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003449s ]
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Public/top | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000368s ]
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Public/top | SQL: SHOW COLUMNS FROM `think_group` [ RunTime:0.003154s ]
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Public/top | SQL: SELECT `id`,`title` FROM `think_group` WHERE status=1  [ RunTime:0.000206s ]
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Public/top | INFO: Tag[ view_template ] --START--
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Public/top | INFO: Run LocationTemplate Behavior [ RunTime:0.000641s ]
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Public/top | INFO: Tag[ view_template ] --END-- [ RunTime:0.000689s ]
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Public/top | INFO: Tag[ view_parse ] --START--
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Public/top | INFO: Run ParseTemplate Behavior [ RunTime:0.005739s ]
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Public/top | INFO: Tag[ view_parse ] --END-- [ RunTime:0.005801s ]
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Public/top | INFO: Tag[ view_filter ] --START--
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Public/top | INFO: Run ContentReplace Behavior [ RunTime:0.000234s ]
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Public/top | INFO: Run TokenBuild Behavior [ RunTime:0.000382s ]
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Public/top | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000156s ]
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Public/top | INFO: Run ShowRuntime Behavior [ RunTime:0.000307s ]
