[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000018s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | INFO: Tag[ view_end ] --END-- [ RunTime:-0.015223s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | INFO: Run ParseTemplate Behavior [ RunTime:0.000068s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.016225s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | INFO: Tag[ view_filter ] --START--
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | INFO: Run ContentReplace Behavior [ RunTime:0.000128s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | INFO: Run TokenBuild Behavior [ RunTime:0.000131s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000010s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | INFO: Run ShowRuntime Behavior [ RunTime:0.000072s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.015943s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | INFO: Tag[ view_end ] --START--
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000018s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | INFO: Tag[ view_end ] --END-- [ RunTime:-0.015840s ]
[ 2012-07-31T11:17:43+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ route_check ] --START--
[ 2012-07-31T11:17:43+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Run CheckRoute Behavior [ RunTime:0.000632s ]
[ 2012-07-31T11:17:43+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000704s ]
[ 2012-07-31T11:17:43+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ app_begin ] --START--
[ 2012-07-31T11:17:43+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000397s ]
[ 2012-07-31T11:17:43+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000448s ]
